,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,names,address,Lat,Long,Geocoded_address
0,0,0,0,Евразийский национальный университет им.Л.Н.Гумилева,"г. Астана, ул. Сатпаева 2",51.15995604435302,71.46716618554095,Астана
1,1,1,1,Казахский национальный университет искусств,"Астана, Тәуелсіздік, 50, ",51.122809718886,71.472879811876,"Тәуелсіздік даңғылы 50, Астана, Z00T2A5"
2,2,2,2,Казахская национальная академия хореографии," г. Астана, проспект Улы дала, дом 9",51.098216586326,71.419256167216,"Улы Дала проспект 9, Астана, Z05K7Y2"
3,3,3,3,Казахский агротехнический университет им. С.Сейфуллина," г.Астана, пр. Женис, 62",51.18734046442033,71.40905963647391,Астана
4,4,4,4,Медицинский университет Астана," г. Астана, ул. Бейбітшілік 49 а",51.181491003922,71.41635753746,"Бейбітшілік көшесі 49А, Астана, Z10K9D9"
5,5,5,5,Университет КАЗГЮУ имени М.С.Нарикбаева," г. Астана, Коргалжинское шоссе, 8",51.148670358216,71.386617065206,"Кургальжинское шоссе 8, Астана"
6,6,6,6,Esil University," г. Астана, ул.А.Жубанов, д.7",51.159306018184,71.45789219569,"Жубанова улица, Астана"
7,7,7,7,"Университет ""Туран-Астана"""," г.Астана ул. Дукен улы, д. 29",51.178693805583,71.417211143234,"Дукенулы улица 29, Астана"
8,8,8,8,Евразийский гуманитарный институт имени А.К. Кусаинова," г. Астана, пр. М. Жумабаева, 4",51.148926530761,71.574616623309,"Мусабаева көшесі 4, Астана, Z00"
9,9,9,9,Astana IT University," г. Астана, проспект Мангилик Ел, здание 55/11",51.123909215035,71.435875385737,"Мангилик Ел проспект 11, Астана, Z05K5H2"
10,10,10,10,Международный университет Астана," г.Астана, пр. Кабанбай батыра 8",51.14484991821989,71.42261175432898,Астана
11,11,11,11,Казахский университет технологии и бизнеса,"г.Астана, ул. Кайым Мухамедханова 37А",51.144760582198,71.368876486723,"Кайыма Мухамедханова улица 37А, Астана, Z05P9M0"
12,12,12,12,Академия физической культуры и массового спорта," г. Астана, ул. Карауыл, дом №15 ",51.186208003753,71.399903023336,"Карауыл улица 15, Астана, Z11C2P7"
13,13,13,13,Академия государственного управления при Президенте Республики Казахстан,"г. Астана, ул. Абая, 33 а,
 ",51.169680504207,71.399684004206,"Абая переулок, Астана, Z10"
14,14,14,14,Назарбаев Университет,"г.  Астана, пр. Кабанбай Батыра, 53, офис 1111",51.145333820556,71.416366673734,"Кабанбай батыра көшесі 5/3, Астана"
15,15,15,15,Казахский национальный университет имени аль-Фараби," г. Алматы, пр. Аль-Фараби, 71",43.225119995524,76.920559982267,"Аль-Фараби даңғылы 71, Алматы, A15E3B4"
16,16,16,16,Казахский национальный педагогический университет имени Абая," г. Алматы, пр. Достык, 13",43.256301010613,76.954513982383,"Достык проспект 13, Алма-Ата, Алматы"
17,17,17,17,Казахский национальный исследовательский технический университет имени К.И. Сатпаева ,"г.Алматы, ул. Сатпаева, 22а
050013",43.237293997424,76.93446597873,"Сатпаева улица 22А, Алма-Ата, Алматы"
18,18,18,18,Казахский национальный женский педагогический университет,"г.  Алматы, ул. Гоголя 114",43.258444011797,76.930460015745,"Гоголя улица 114, Алма-Ата, Алматы"
19,19,19,19,Казахский национальный аграрный исследовательский университет,"г.Алматы,
пр. Абая, 8",43.241940002535,76.951909976523,"Абая проспект 8, Алма-Ата, Алматы, A26M8G3"
20,20,20,20,Казахский национальный медицинский университет им.С.Д.Асфендиярова,"г. Алматы,                  ул.Толе би, дом 94",43.253753792147,76.93668559051,"Толе би улица 94, Алма-Ата, Алматы"
21,21,21,21,Казахская национальная консерватория имени Курмангазы,"г. Алматы, пр. Абылай хана, дом 86",43.252339304077,76.942205660484,"Абылай Хана проспект 86, Алма-Ата, Алматы, A05A2T8"
22,22,22,22,Казахская национальная академия искусств имени Т.К.Жургенова,"г. Алматы, ул. И.Панфилова 127",43.251794983284,76.944454022192,"Панфилова көшесі 127, Алматы"
23,23,23,23,Международный университет информационных технологий,"г. Алматы, ул Манаса/Джандосова, 34А/8А.",43.232765590415,76.904498830859,"Жандосова улица 34А, Алма-Ата, Алматы"
24,24,24,24,Университет КИМЭП,"г. Алматы, пр. Абая 2",43.242710006071,76.95612003885,"Абая проспект 2, Алма-Ата, Алматы"
25,25,25,25,"Академия ""Кайнар""","г. Алматы, ул. Байзакова, 125/185 НП 4",43.256489016701,76.910616027615,"Байзакова улица 125, Алма-Ата, Алматы"
26,26,26,26,Казахстанско-Российский медицинский университет,"г. Алматы, ул. Торекулова, 71",43.26565399918,76.932535961705,"Торекулова улица 71, Алма-Ата, Алматы"
27,27,27,27,"Университет ""Туран"""," г.Алматы,  ул. Сатпаева, 16 а",43.236600017751,76.939490007674,"Сатпаева улица 16А, Алма-Ата, Алматы, A15P4M8"
28,28,28,28,Международная образовательная корпорация,"г. Алматы, Бостандыкский район, ул. Рыскулбекова, 28",43.1555484,76.9235001,"Бостандыкский район, Алматы"
29,29,29,29,Академия логистики и транспорта," г. Алматы, ул. Шевченко, 97",43.245401016085,76.928747006193,"Шевченко улица 97, Алма-Ата, Алматы"
30,30,30,30,Университет Нархоз,"г. Алматы, ул. Жандосова, 55",43.214669019549,76.871358964998,"Жандосова улица 55, Алма-Ата, Алматы"
